,,,,"    Menu Mix Category Detail 
 Summary",,,,,,,,,
All Stores,,,,,,,,,,,,,
Report Range: 9/26/2022 - 10/2/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Qty.,,Item Sales,,,,,
,,,,,,,,,,,,,
,Appetizers,,,,,,,,,,,,
,10008,Chips & Salsa,,,,155.00,,$0.00,,,,,
,10010,Chorizo Queso,,,,89.00,,$880.00,,,,,
,10007,Salsa Dip,,,,74.00,,$296.00,,,,,
,10006,Guac Dip,,,,55.00,,$495.00,,,,,
,10005,Street Corn,,,,46.00,,$414.00,,,,,
,10004,Queso Dip,,,,39.00,,$273.00,,,,,
,10003,Nachos,,,,34.00,,$340.00,,,,,
,10011,Taquitos,,,,25.00,,$200.00,,,,,
,10016,Dip Trio,,,,20.00,,$220.00,,,,,
,10012,Loyalty Salsa,,,,7.00,,$0.00,,,,,
,10009,Refill Salsa,,,,2.00,,$0.00,,,,,
,Appetizers Total:,,,,,,,,,,,,
,,,,,546.00,,,"$3,118.00",,,,,
,,,,,,,,,,,,,
,Beer,,,,,,,,,,,,
,50011,Corona Lite,,,,22.00,,$108.00,,,,,
,50007,XX Lager,,,,20.00,,$97.00,,,,,
,50010,Corona,,,,15.00,,$71.00,,,,,
,50005,Mich Ultra,,,,13.00,,$51.00,,,,,
,50006,Modelo,,,,13.00,,$62.00,,,,,
,50019,WW IPA,,,,9.00,,$45.00,,,,,
,50004,Miller LT,,,,7.00,,$26.00,,,,,
,50008,Tecate LT,,,,7.00,,$33.00,,,,,
,50009,Sol,,,,7.00,,$34.00,,,,,
,50021,Estrella,,,,7.00,,$33.00,,,,,
,50015,Taco Tuesday,,,,6.00,,$30.00,,,,,
,50001,Bud LT,,,,5.00,,$20.00,,,,,
,50003,Coors LT,,,,5.00,,$20.00,,,,,
,50017,Bebida Cerveza,,,,5.00,,$21.00,,,,,
,50020,BW Guerrero,,,,4.00,,$20.00,,,,,
,50022,Hi Wire IPA,,,,3.00,,$18.00,,,,,
,50002,Bud,,,,1.00,,$3.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,50014,Stone Buenaves,,,,1.00,,$5.00,,,,,
,Beer Total:,,,,,,,,,,,,
,,,,,150.00,,,$697.00,,,,,
,,,,,,,,,,,,,
,Cocktails,,,,,,,,,,,,
,69003,Classic Marg,,,,121.00,,$929.00,,,,,
,69005,Pineapple Marg,,,,64.00,,$618.00,,,,,
,69004,Cadillac Marg,,,,54.00,,$546.00,,,,,
,69051,Skinny Marg,,,,54.00,,$479.00,,,,,
,69006,Strawberr Marg,,,,46.00,,$424.00,,,,,
,69023,BBerry Marg,,,,44.00,,$420.00,,,,,
,69025,La Muerta,,,,17.00,,$153.00,,,,,
,69026,Child's Play,,,,16.00,,$144.00,,,,,
,69024,Mr Harless,,,,12.00,,$108.00,,,,,
,69018,Mimosa,,,,10.00,,$50.00,,,,,
,69011,El Jefe,,,,8.00,,$72.00,,,,,
,69017,Bloody Maria,,,,8.00,,$72.00,,,,,
,69001,LIT,,,,7.00,,$70.00,,,,,
,69021,Sangria,,,,7.00,,$49.00,,,,,
,69009,Pink Lady,,,,6.00,,$54.00,,,,,
,69016,Michelada,,,,4.00,,$8.00,,,,,
,69013,Devil Handshak,,,,3.00,,$27.00,,,,,
,69014,Calacas,,,,3.00,,$27.00,,,,,
,69020,Mordo Rouge,,,,3.00,,$27.00,,,,,
,69010,Ranch Water,,,,2.00,,$18.00,,,,,
,69027,ALasEstrellas,,,,2.00,,$18.00,,,,,
,69053,StrawberryInfus,,,,2.00,,$16.00,,,,,
,Cocktails Total:,,,,,,,,,,,,
,,,,,493.00,,,"$4,329.00",,,,,
,,,,,,,,,,,,,
,Entrees,,,,,,,,,,,,
,14023,Chx Quesadilla,,,,97.00,,"$1,455.00",,,,,
,14002,Machete Qdilla,,,,91.00,,"$1,547.00",,,,,
