Menu Mix Item Sales,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,,,,,,,,
  ID,Short Name,Chit Name,,Central Mesa,,,,
Central Mesa 130,Open Beer,OPEN BEER,,0.00,,,,
0.00 150,Open Wine,OPEN WINE,,0.00,,,,
0.00 170,Open Liquor,OPEN LIQUOR,,0.00,,,,
0.00 10001,Ceviche,Ceviche,,0.00,,,,
0.00 10002,SW Wraps,SW Rolls,,0.00,,,,
0.00 10003,Nachos,Nachos,,30.00,,,,
30.00 10004,Queso Dip,Queso App,,14.00,,,,
14.00 10005,Street Corn,St Corn App,,36.00,,,,
36.00 10006,Guac Dip,Guac App,,126.00,,,,
126.00 10007,Salsa Dip,Salsa App,,36.00,,,,
36.00 10008,Chips & Salsa,Chips & Salsa,,0.00,,,,
0.00 10009,Refill Salsa,Refill Salsa,,0.00,,,,
0.00 10010,Chorizo Queso,Chorizo Queso,,170.00,,,,
170.00 10011,Taquitos,Taquitos,,56.00,,,,
56.00 10012,Loyalty Salsa,Salsa,,0.00,,,,
0.00 10013,***APPS***,***APPS***,,0.00,,,,
0.00 10014,***APPS***,***APPS***,,0.00,,,,
0.00 10015,***APPS***,***APPS***,,0.00,,,,
0.00 10016,Dip Trio,Dip Trio,,44.00,,,,
44.00 11000,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11001,B-Chx Tort Soup,Chx Tort Bowl,,0.00,,,,
0.00 11002,B-Blk Bean Soup,Bean Soup Bowl,,0.00,,,,
0.00 11003,B-Chorizo Chili,Chili Bowl,,0.00,,,,
0.00 11004,C-Chk Tortilla,Chx Tort Cup,,0.00,,,,
0.00 11005,C-Blk Bean Soup,Bean Soup Cup,,0.00,,,,
0.00 11006,C-Chorizo Chili,Chili Cup,,0.00,,,,
0.00 11007,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11008,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11009,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11010,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11011,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11012,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11013,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11014,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 11015,***SOUPS***,***SOUPS***,,0.00,,,,
0.00 12000,***SALADS***,***SALADS***,,0.00,,,,
0.00 12001,Caesar Salad,Caesar Salad,,9.00,,,,
9.00 12002,Santa Fe Salad,Santa Fe Salad,,60.00,,,,
60.00 12003,Side Salad,Side Salad,,0.00,,,,
0.00 12004,Side Caesar,Side Caesar,,0.00,,,,
0.00 12005,Summer Salad,Summer Salad,,0.00,,,,
0.00 12006,Half Caesar,Half Caesar,,0.00,,,,
0.00 12007,Half Santa Fe,Half Santa Fe,,0.00,,,,
0.00 12008,Half Summer,Half Summer,,0.00,,,,
0.00 12009,***SALADS***,***SALADS***,,0.00,,,,
0.00 12010,***SALADS***,***SALADS***,,0.00,,,,
0.00 12011,***SALADS***,***SALADS***,,0.00,,,,
0.00 12012,***SALADS***,***SALADS***,,0.00,,,,
0.00 12013,***SALADS***,***SALADS***,,0.00,,,,
0.00 12014,***SALADS***,***SALADS***,,0.00,,,,
